sensor_id,sensor_name,sensor_type
134625,Electricity 2819184,Electricity
134626,Heat 29249,ThermalEnergy
134628,Cooling 80798,ThermalEnergy
144693,102-TE09_M Indoor air temperature,IndoorTemperature
144694,104-TE09_M Indoor air temperature,IndoorTemperature
144696,I202TK_QIE10_M B1 Indoor air CO2 concentration,CO2
144697,I203TK_QIE10_M Parking garage K-KRS Indoor air CO2 concentration,CO2
144699,I204TK_QIE10_M P-Halli AK Indoor air CO2 concentration,CO2
144701,I205TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144703,I206_QE10.1 Indoor air CO2 concentration,CO2
144704,I206_QE10.2 Indoor air CO2 concentration,CO2
144707,I206TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144709,I207TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144711,I208TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144713,I209TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144715,I210TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144717,I211TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144719,I212_QE10.1_M Indoor air CO2 concentration,CO2
144720,I212_QE10.2_M Indoor air CO2 concentration,CO2
144723,I212TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144725,I213TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144727,I214TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144729,I215_QE10.1_M Indoor air CO2 concentration,CO2
144730,I215_QE10.2_M Indoor air CO2 concentration,CO2
144733,I215TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144735,I216TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144737,I217TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144739,I218TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144741,I219_QE10.1_M Indoor air CO2 concentration,CO2
144742,I219_QE10.2_M Indoor air CO2 concentration,CO2
144745,I219TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144746,I221TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144748,I222_QE10.1_M Indoor air CO2 concentration,CO2
144749,I222_QE10.2_M Indoor air CO2 concentration,CO2
144752,I222TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144754,I22310.3-QE_M Indoor air CO2 concentration,CO2
144762,I223TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144770,I226-10.5-QE_M Indoor air CO2 concentration,CO2
144772,I226TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144774,I227TK_QIE10_M Offices 2.KRS Indoor air CO2 concentration,CO2
144788,273TE09-C1471_M Indoor air temperature,IndoorTemperature
144789,273TE09-C1473_M Indoor air temperature,IndoorTemperature
144796,275TE05 Indoor air temperature,IndoorTemperature
144801,A3101.05_QE09_M Indoor air CO2 concentration,CO2
144803,A3101.05_TE09_M Indoor air temperature,IndoorTemperature
144804,B3107.2_QE09_M Indoor air CO2 concentration,CO2
144805,B3107.2_TE09_M Indoor air temperature,IndoorTemperature
144809,C3123.6_QE09_M Indoor air CO2 concentration,CO2
144811,C3123.6_TE09_M Indoor air temperature,IndoorTemperature
144855,I202TC.B1119.01 Indoor air temperature,IndoorTemperature
144856,I202TC.B1119.01 Relative humidity of indoor air,IndoorRH
144858,I202TC.B1119.01 Indoor air CO2 concentration,CO2
144860,I202TC.B1119.02 Indoor air temperature,IndoorTemperature
144861,I202TC.B1119.02 Relative humidity of indoor air,IndoorRH
144863,I202TC.B1119.02 Indoor air temperature,IndoorTemperature
144864,I202TC.B1119.02 Indoor air CO2 concentration,CO2
144865,I202TC.B1119.1_QE09 Indoor air CO2 concentration,CO2
144866,I202TC.B1119.1_TE09 Indoor air temperature,IndoorTemperature
144867,I202TC.B1119.2_QE09 Indoor air CO2 concentration,CO2
144868,I202TC.B1119.2_TE09 Indoor air temperature,IndoorTemperature
144870,I202TC.B1120 Indoor air temperature,IndoorTemperature
144871,I202TC.B1120 Relative humidity of indoor air,IndoorRH
144873,I202TC.B1120 Indoor air CO2 concentration,CO2
144874,I202TC.B1120_QE09 Indoor air CO2 concentration,CO2
144875,I202TC.B1120_TE09 Indoor air temperature,IndoorTemperature
144910,I202TK_TE09_1 Indoor air temperature,IndoorTemperature
144911,I202TK_TE09_2 Indoor air temperature,IndoorTemperature
144912,I202TK_TE09_3 Indoor air temperature,IndoorTemperature
