ID,index,DATE,room,floor,indoor T,indoor RH,co2,outT,value,tsv,spmv
0,0,2023-04-01 00:00:00+00:00,379.0,2.0,20.3,14.0,405.5,-3.0,0.2,0.0,-0.2
1,1,2023-04-01 01:00:00+00:00,379.0,2.0,20.8,13.0,409.3,-5.3,0.2,0.2,-0.13
2,2,2023-04-01 02:00:00+00:00,379.0,2.0,20.8,12.2,412.5,-5.8,0.2,1.1,-0.13
3,3,2023-04-01 03:00:00+00:00,379.0,2.0,20.8,11.2,416.0,-6.0,0.2,0.7,-0.13
4,4,2023-04-01 04:00:00+00:00,379.0,2.0,20.6,11.0,417.2,-6.0,0.2,0.7,-0.16
5,5,2023-04-01 05:00:00+00:00,379.0,2.0,20.8,10.3,418.5,-5.0,0.2,0.4,-0.14
6,6,2023-04-01 06:00:00+00:00,379.0,2.0,20.7,10.5,416.7,-3.0,0.2,0.3,-0.15
7,7,2023-04-01 07:00:00+00:00,379.0,2.0,20.8,10.7,415.2,-1.1,0.2,0.3,-0.14
8,8,2023-04-01 08:00:00+00:00,379.0,2.0,20.7,11.2,413.0,0.8,0.3,-0.0,-0.15
9,9,2023-04-01 09:00:00+00:00,379.0,2.0,20.8,11.8,410.7,1.8,0.2,0.2,-0.13
10,10,2023-04-01 10:00:00+00:00,379.0,2.0,20.7,12.3,410.5,2.6,0.2,0.1,-0.15
11,11,2023-04-01 11:00:00+00:00,379.0,2.0,20.7,13.0,410.7,3.2,0.2,-0.3,-0.15
12,12,2023-04-01 12:00:00+00:00,379.0,2.0,20.9,13.2,410.5,3.5,0.2,-0.4,-0.12
13,13,2023-04-01 13:00:00+00:00,379.0,2.0,20.7,13.5,411.0,3.6,0.2,-0.4,-0.15
14,14,2023-04-01 14:00:00+00:00,379.0,2.0,20.9,13.3,411.8,3.5,0.2,-0.4,-0.12
15,15,2023-04-01 15:00:00+00:00,379.0,2.0,20.8,13.2,412.0,3.4,0.2,-0.4,-0.13
16,16,2023-04-01 16:00:00+00:00,379.0,2.0,20.7,12.8,413.0,2.7,0.2,-0.2,-0.15
17,17,2023-04-01 17:00:00+00:00,379.0,2.0,20.7,12.5,413.2,1.9,0.2,-0.1,-0.15
18,18,2023-04-01 18:00:00+00:00,379.0,2.0,20.8,11.8,413.8,1.1,0.2,0.3,-0.13
19,19,2023-04-01 19:00:00+00:00,379.0,2.0,20.2,12.0,414.7,1.2,0.2,0.3,-0.22
20,20,2023-04-01 20:00:00+00:00,379.0,2.0,20.2,12.0,414.0,0.9,0.3,0.3,-0.22
21,21,2023-04-01 21:00:00+00:00,379.0,2.0,20.2,12.0,412.5,0.5,0.2,0.6,-0.22
22,22,2023-04-01 22:00:00+00:00,379.0,2.0,20.2,13.0,411.3,0.1,0.2,0.1,-0.22
23,23,2023-04-01 23:00:00+00:00,379.0,2.0,20.2,13.0,409.8,-0.3,0.2,0.1,-0.22
24,24,2023-04-02 00:00:00+00:00,379.0,2.0,20.2,13.0,407.3,-0.7,0.2,0.1,-0.22
25,25,2023-04-02 01:00:00+00:00,379.0,2.0,20.7,12.5,411.5,-2.9,0.2,0.4,-0.15
26,26,2023-04-02 02:00:00+00:00,379.0,2.0,20.9,11.5,414.7,-3.5,0.2,0.4,-0.12
27,27,2023-04-02 03:00:00+00:00,379.0,2.0,20.8,11.2,416.2,-3.9,0.2,0.4,-0.13
28,28,2023-04-02 04:00:00+00:00,379.0,2.0,20.8,11.2,417.3,-3.8,0.2,0.4,-0.13
29,29,2023-04-02 05:00:00+00:00,379.0,2.0,20.8,10.7,419.0,-3.3,0.2,0.4,-0.14
30,30,2023-04-02 06:00:00+00:00,379.0,2.0,20.9,11.0,418.2,-2.2,0.2,0.3,-0.12
31,31,2023-04-02 07:00:00+00:00,379.0,2.0,20.8,11.3,417.5,-1.0,0.2,0.3,-0.13
32,32,2023-04-02 08:00:00+00:00,379.0,2.0,20.7,11.5,417.8,0.4,0.2,0.3,-0.15
33,33,2023-04-02 09:00:00+00:00,379.0,2.0,20.7,11.2,416.5,0.9,0.3,-0.0,-0.15
34,34,2023-04-02 10:00:00+00:00,379.0,2.0,20.7,10.7,416.3,1.1,0.4,-0.0,-0.15
35,35,2023-04-02 11:00:00+00:00,379.0,2.0,20.8,10.7,416.7,1.4,0.3,-0.0,-0.14
36,36,2023-04-02 12:00:00+00:00,379.0,2.0,20.8,11.0,416.5,1.4,0.2,-0.0,-0.14
37,37,2023-04-02 13:00:00+00:00,379.0,2.0,20.7,10.8,417.0,1.6,0.2,-0.0,-0.15
38,38,2023-04-02 14:00:00+00:00,379.0,2.0,20.7,11.0,417.0,2.0,0.2,-0.1,-0.15
39,39,2023-04-02 15:00:00+00:00,379.0,2.0,20.8,11.0,418.3,2.0,0.2,-0.1,-0.14
40,40,2023-04-02 16:00:00+00:00,379.0,2.0,20.8,11.3,418.5,1.7,0.2,-0.1,-0.13
41,41,2023-04-02 17:00:00+00:00,379.0,2.0,20.7,11.2,419.5,1.2,0.2,-0.0,-0.15
42,42,2023-04-02 18:00:00+00:00,379.0,2.0,20.7,12.0,420.3,0.6,0.2,0.4,-0.15
43,43,2023-04-02 19:00:00+00:00,379.0,2.0,20.3,12.0,420.8,0.7,0.2,0.3,-0.2
44,44,2023-04-02 20:00:00+00:00,379.0,2.0,20.2,12.0,420.3,0.6,0.2,0.4,-0.22
45,45,2023-04-02 21:00:00+00:00,379.0,2.0,20.2,12.0,418.3,0.3,0.2,0.8,-0.22
46,46,2023-04-02 22:00:00+00:00,379.0,2.0,20.2,12.0,416.7,-0.1,0.2,0.8,-0.22
47,47,2023-04-02 23:00:00+00:00,379.0,2.0,20.2,12.0,414.7,-0.4,0.2,0.8,-0.22
48,48,2023-04-03 00:00:00+00:00,379.0,2.0,20.2,12.2,412.8,-0.9,0.2,0.7,-0.22
49,49,2023-04-03 01:00:00+00:00,379.0,2.0,20.7,13.0,417.0,-2.9,0.2,0.1,-0.15
50,50,2023-04-03 02:00:00+00:00,379.0,2.0,20.9,12.3,419.8,-3.3,0.2,0.7,-0.12
51,51,2023-04-03 03:00:00+00:00,379.0,2.0,20.8,12.2,421.7,-3.8,0.4,0.9,-0.13
52,52,2023-04-03 04:00:00+00:00,379.0,2.0,20.8,11.7,424.8,-3.8,0.7,0.8,-0.13
53,53,2023-04-03 05:00:00+00:00,379.0,2.0,20.8,11.5,426.2,-3.4,0.8,0.4,-0.13
54,54,2023-04-03 06:00:00+00:00,379.0,2.0,20.7,11.7,428.8,-2.4,0.9,0.6,-0.15
55,55,2023-04-03 07:00:00+00:00,379.0,2.0,20.8,11.0,426.3,-1.7,0.9,0.3,-0.14
56,56,2023-04-03 08:00:00+00:00,379.0,2.0,20.8,10.8,431.5,-0.9,1.0,0.3,-0.14
57,57,2023-04-03 09:00:00+00:00,379.0,2.0,20.8,10.5,434.0,-0.2,1.0,0.3,-0.14
58,58,2023-04-03 10:00:00+00:00,379.0,2.0,20.7,10.2,430.7,0.2,0.9,0.3,-0.15
59,59,2023-04-03 11:00:00+00:00,379.0,2.0,20.9,10.0,479.2,0.7,1.1,-0.0,-0.12
60,60,2023-04-03 12:00:00+00:00,379.0,2.0,21.1,9.3,514.5,1.2,1.0,-0.0,-0.09
61,61,2023-04-03 13:00:00+00:00,379.0,2.0,20.8,10.0,506.7,1.4,0.9,-0.0,-0.14
62,62,2023-04-03 14:00:00+00:00,379.0,2.0,20.5,9.0,460.7,1.3,0.6,-0.1,-0.18
63,63,2023-04-03 15:00:00+00:00,379.0,2.0,20.4,9.0,435.2,1.0,0.6,-0.1,-0.19
64,64,2023-04-03 16:00:00+00:00,379.0,2.0,20.4,8.0,422.3,0.6,0.3,0.0,-0.19
65,65,2023-04-03 17:00:00+00:00,379.0,2.0,20.4,8.0,416.8,-0.2,0.4,0.3,-0.19
66,66,2023-04-03 18:00:00+00:00,379.0,2.0,20.4,8.0,415.7,-1.0,0.3,0.3,-0.19
67,67,2023-04-03 19:00:00+00:00,379.0,2.0,20.3,8.7,418.0,-0.7,0.2,0.3,-0.21
68,68,2023-04-03 20:00:00+00:00,379.0,2.0,20.3,9.2,416.8,-0.7,0.2,0.3,-0.21
69,69,2023-04-03 21:00:00+00:00,379.0,2.0,20.3,10.0,413.7,-1.0,0.2,0.3,-0.21
70,70,2023-04-03 22:00:00+00:00,379.0,2.0,20.3,10.0,410.3,-1.5,0.2,0.3,-0.21
71,71,2023-04-03 23:00:00+00:00,379.0,2.0,20.3,10.7,408.0,-1.9,0.2,0.3,-0.2
72,72,2023-04-04 00:00:00+00:00,379.0,2.0,20.4,11.0,406.0,-2.2,0.2,0.3,-0.19
73,73,2023-04-04 01:00:00+00:00,379.0,2.0,20.8,9.8,399.2,-4.9,0.2,0.4,-0.14
74,74,2023-04-04 02:00:00+00:00,379.0,2.0,20.7,8.8,404.8,-5.4,0.2,0.4,-0.15
75,75,2023-04-04 03:00:00+00:00,379.0,2.0,20.5,8.2,406.2,-5.7,0.4,0.5,-0.18
76,76,2023-04-04 04:00:00+00:00,379.0,2.0,20.4,8.0,409.0,-5.5,0.7,0.4,-0.19
77,77,2023-04-04 05:00:00+00:00,379.0,2.0,20.2,8.3,417.2,-4.6,0.8,0.4,-0.22
78,78,2023-04-04 06:00:00+00:00,379.0,2.0,20.3,9.0,422.5,-2.9,1.0,0.3,-0.21
79,79,2023-04-04 07:00:00+00:00,379.0,2.0,20.4,9.3,445.7,-1.7,1.0,0.3,-0.19
80,80,2023-04-04 08:00:00+00:00,379.0,2.0,21.0,10.3,474.3,-0.8,1.0,0.3,-0.11
81,81,2023-04-04 09:00:00+00:00,379.0,2.0,20.9,10.5,465.7,0.1,1.0,0.3,-0.12
82,82,2023-04-04 10:00:00+00:00,379.0,2.0,20.5,9.3,423.0,1.1,1.0,-0.1,-0.18
83,83,2023-04-04 11:00:00+00:00,379.0,2.0,20.5,9.0,423.2,1.6,1.0,-0.0,-0.18
84,84,2023-04-04 12:00:00+00:00,379.0,2.0,21.1,11.7,527.7,2.1,1.1,0.2,-0.09
85,85,2023-04-04 13:00:00+00:00,379.0,2.0,20.9,10.0,418.3,2.5,0.9,-0.1,-0.12
