 ID;value;date;indoor T;indoor RH ;co2;outT;tsv
1;0.33 ;07/03/2024 13:00;24.61 ;34.85 ;352.6 ;11.5 ;0.12 
3;0.48 ;07/03/2024 14:00;25.51 ;34.26 ;351.0 ;12.3 ;0.16 
5;0.9 ;07/03/2024 15:00;25.8 ;33.41 ;347.8 ;12.3 ;0.33 
7;0.95 ;07/03/2024 16:00;25.95 ;33.79 ;349.8 ;12.3 ;0.32 
9;0.47 ;07/03/2024 17:00;26.01 ;33.36 ;348.0 ;12.0 ;0.48 
11;0.28 ;07/03/2024 18:00;25.23 ;34.94 ;348.6 ;11.1 ;0.0375 
13;0.05 ;07/03/2024 19:00;24.28 ;35.57 ;347.8 ;10.1 ;0.03 
15;0.05 ;07/03/2024 20:00;23.6 ;35.43 ;347.8 ;9.2 ;0.21 
17;0.05 ;07/03/2024 21:00;23.25 ;35.12 ;350.4 ;7.5 ;-0.01 
19;0.05 ;07/03/2024 22:00;23.02 ;35.08 ;352.5 ;5.7 ;0.59 
21;0.05 ;07/03/2024 23:00;22.32 ;35.36 ;347.8 ;4.8 ;-0.79 
23;0.05 ;08/03/2024 00:00;22.15 ;35.44 ;349.9 ;4.3 ;-0.34 
25;0.05 ;08/03/2024 01:00;21.64 ;35.58 ;352.3 ;3.7 ;0.56 
27;0.05 ;08/03/2024 02:00;21.16 ;35.74 ;347.8 ;3.4 ;0.99 
29;0.05 ;08/03/2024 03:00;20.76 ;35.88 ;348.8 ;3.0 ;0.09 
31;0.05 ;08/03/2024 04:00;20.45 ;36.47 ;352.3 ;2.7 ;0.15 
33;0.05 ;08/03/2024 05:00;20.07 ;36.59 ;349.4 ;2.3 ;0.01 
35;0.05 ;08/03/2024 06:00;19.95 ;36.5 ;348.6 ;1.9 ;0.0 
37;0.53 ;08/03/2024 07:00;20.38 ;37.61 ;349.9 ;1.6 ;0.0 
39;0.9 ;08/03/2024 08:00;20.53 ;39.74 ;347.8 ;2.9 ;0.24 
41;0.79 ;08/03/2024 09:00;21.6 ;39.32 ;349.0 ;6.7 ;0.2 
43;0.68 ;08/03/2024 10:00;22.68 ;38.89 ;350.2 ;9.3 ;-0.19 
45;0.57 ;08/03/2024 11:00;23.75 ;38.47 ;351.4 ;11.2 ;-0.23 
47;0.05 ;08/03/2024 12:00;24.43 ;36.92 ;355.5 ;12.5 ;0.0 
49;0.32 ;08/03/2024 13:00;24.84 ;36.36 ;347.8 ;13.5 ;0.12 
51;0.05 ;08/03/2024 14:00;24.9 ;36.09 ;356.6 ;14.0 ;-0.01 
53;0.05 ;08/03/2024 15:00;24.66 ;35.17 ;351.4 ;14.0 ;0.21 
55;0.89 ;08/03/2024 16:00;25.18 ;36.04 ;347.8 ;13.8 ;0.18 
57;0.48 ;08/03/2024 17:00;24.78 ;40.12 ;354.7 ;13.2 ;0.38 
59;0.05 ;08/03/2024 18:00;24.16 ;39.01 ;347.8 ;11.8 ;0.05 
61;0.05 ;08/03/2024 19:00;23.91 ;38.5 ;348.3 ;10.8 ;-0.06 
63;0.05 ;08/03/2024 20:00;23.2 ;39.24 ;349.6 ;9.8 ;-0.09 
65;0.05 ;08/03/2024 21:00;22.8 ;39.96 ;352.0 ;9.4 ;-0.265 
67;0.05 ;08/03/2024 22:00;22.41 ;40.77 ;349.6 ;9.0 ;-0.27 
69;0.05 ;08/03/2024 23:00;22.14 ;41.27 ;348.0 ;8.7 ;-0.08 
71;0.05 ;09/03/2024 00:00;21.92 ;41.74 ;352.1 ;8.6 ;-0.08 
73;0.05 ;09/03/2024 01:00;21.61 ;42.23 ;347.8 ;8.6 ;-0.04 
75;0.05 ;09/03/2024 02:00;21.41 ;42.65 ;348.8 ;8.4 ;-0.18 
77;0.05 ;09/03/2024 03:00;21.26 ;42.91 ;347.8 ;8.4 ;-0.15 
79;0.05 ;09/03/2024 04:00;21.15 ;43.25 ;348.0 ;8.4 ;-0.14 
81;0.05 ;09/03/2024 05:00;20.88 ;43.42 ;347.8 ;8.3 ;0.02 
83;0.05 ;09/03/2024 06:00;20.66 ;43.75 ;348.6 ;8.2 ;0.01 
85;0.05 ;09/03/2024 07:00;20.64 ;43.93 ;350.7 ;8.2 ;0.01 
