ID,date,indoor T,TSV,outdoorT,hour,day_of_week,value
0,2024-02-01 00:00:00,19.244999885559,-1.0,9.82,0,3,-0.4
1,2024-02-01 01:00:00,19.973333676656,-1.0,9.79,1,3,-0.4
2,2024-02-01 02:00:00,20.1900005340576,-1.0,9.56,2,3,-0.4
3,2024-02-01 03:00:00,20.1900005340576,-1.0,7.1,3,3,-0.4
4,2024-02-01 04:00:00,20.1900005340576,-1.0,5.37,4,3,-0.4
5,2024-02-01 05:00:00,20.1466671625773,-1.0,5.3,5,3,-0.4
6,2024-02-01 06:00:00,20.1466671625773,-1.0,4.66,6,3,-0.4
7,2024-02-01 07:00:00,20.1900005340576,-1.0,3.9,7,3,-0.4
8,2024-02-01 08:00:00,20.1900005340576,-1.0,3.27,8,3,3.15
9,2024-02-01 09:00:00,20.1466671625773,-1.0,3.34,9,3,-0.3
10,2024-02-01 10:00:00,19.6700000762939,-1.0,4.88,10,3,-0.3
11,2024-02-01 11:00:00,19.6700000762939,-1.0,6.2,11,3,-0.3
12,2024-02-01 12:00:00,19.8866669336954,-1.0,7.41,12,3,-0.3
13,2024-02-01 13:00:00,20.1900005340576,-1.0,7.9,13,3,-0.3
14,2024-02-01 14:00:00,20.1900005340576,-1.0,8.76,14,3,-0.3
15,2024-02-01 15:00:00,20.1900005340576,-1.0,8.34,15,3,-0.3
16,2024-02-01 16:00:00,20.1900005340576,-1.0,7.8,16,3,-0.3
17,2024-02-01 17:00:00,20.1900005340576,-1.0,7.07,17,3,-0.3
18,2024-02-01 18:00:00,20.1900005340576,-1.0526315789473684,6.46,18,3,-0.3
19,2024-02-01 19:00:00,20.1900005340576,-1.1052631578947367,6.12,19,3,-0.3
20,2024-02-01 20:00:00,20.1900005340576,-1.1578947368421053,5.47,20,3,-0.3
21,2024-02-01 21:00:00,20.1900005340576,-1.2105263157894737,4.73,21,3,-0.3
22,2024-02-01 22:00:00,19.8025002479553,-1.263157894736842,4.46,22,3,-0.3
23,2024-02-01 23:00:00,18.7699995040893,-1.3157894736842106,3.66,23,3,-0.3
24,2024-02-02 00:00:00,18.6833327611287,-1.368421052631579,3.62,0,4,-0.3
25,2024-02-02 01:00:00,19.3724999427795,-1.4210526315789471,3.3,1,4,-0.3
26,2024-02-02 02:00:00,19.6700000762939,-1.4736842105263157,3.38,2,4,-0.3
27,2024-02-02 03:00:00,19.6700000762939,-1.526315789473684,3.45,3,4,-0.3
28,2024-02-02 04:00:00,19.6700000762939,-1.5789473684210529,3.88,4,4,-0.3
29,2024-02-02 05:00:00,19.6700000762939,-1.631578947368421,4.88,5,4,-0.3
30,2024-02-02 06:00:00,19.8433335622151,-1.6842105263157894,5.82,6,4,-0.3
31,2024-02-02 07:00:00,20.1900005340576,-1.736842105263158,6.24,7,4,-0.3
32,2024-02-02 08:00:00,20.1900005340576,-1.7894736842105263,6.52,8,4,-0.3
33,2024-02-02 09:00:00,20.1900005340576,-1.8421052631578947,6.76,9,4,-0.3
34,2024-02-02 10:00:00,20.1900005340576,-1.894736842105263,7.09,10,4,-0.3
35,2024-02-02 11:00:00,20.3600006103515,-1.947368421052632,8.09,11,4,-0.3
36,2024-02-02 12:00:00,20.7000007629394,-2.0,10.3,12,4,-0.3
37,2024-02-02 13:00:00,20.7000007629394,0.0,11.3,13,4,-0.3
38,2024-02-02 14:00:00,20.7000007629394,-1.0,11.1,14,4,-0.3
39,2024-02-02 15:00:00,20.7000007629394,-1.0,11.2,15,4,-0.3
40,2024-02-02 16:00:00,20.9600000381469,1.0,11.6,16,4,-0.3
41,2024-02-02 17:00:00,21.2199993133544,1.0,10.7,17,4,-0.3
42,2024-02-02 18:00:00,21.2199993133544,0.96875,10.8,18,4,-0.3
43,2024-02-02 19:00:00,21.2199993133544,0.9375,10.2,19,4,-0.3
44,2024-02-02 20:00:00,21.2199993133544,0.90625,10.1,20,4,-0.3
45,2024-02-02 21:00:00,21.2199993133544,0.875,9.84,21,4,-0.3
46,2024-02-02 22:00:00,20.7466667493184,0.84375,10.3,22,4,-0.3
47,2024-02-02 23:00:00,19.7566668192545,0.8125,10.5,23,4,-0.3
48,2024-02-03 00:00:00,19.6700000762939,0.78125,10.5,0,5,-0.3
49,2024-02-03 01:00:00,20.103333791097,0.75,10.3,1,5,-0.3
50,2024-02-03 02:00:00,20.5725007057189,0.71875,10.2,2,5,-0.3
51,2024-02-03 03:00:00,20.7000007629394,0.6875,9.92,3,5,-0.3
52,2024-02-03 04:00:00,20.7000007629394,0.65625,9.62,4,5,-0.3
53,2024-02-03 05:00:00,20.2750005722045,0.625,9.89,5,5,-0.3
54,2024-02-03 06:00:00,20.1900005340576,0.59375,10.1,6,5,-0.3
55,2024-02-03 07:00:00,20.1900005340576,0.5625,9.95,7,5,-0.3
56,2024-02-03 08:00:00,20.1900005340576,0.53125,10.3,8,5,1.93
57,2024-02-03 09:00:00,20.1900005340576,0.5,10.5,9,5,-0.4
58,2024-02-03 10:00:00,20.7000007629394,0.46875,10.7,10,5,-0.4
59,2024-02-03 11:00:00,20.7000007629394,0.4375,11.4,11,5,-0.4
60,2024-02-03 12:00:00,20.7000007629394,0.40625,11.8,12,5,-0.4
61,2024-02-03 13:00:00,20.7000007629394,0.375,11.7,13,5,-0.4
62,2024-02-03 14:00:00,20.7000007629394,0.34375,12.0,14,5,-0.4
63,2024-02-03 15:00:00,20.7000007629394,0.3125,12.4,15,5,-0.4
64,2024-02-03 16:00:00,20.7000007629394,0.28125,12.5,16,5,-0.4
65,2024-02-03 17:00:00,20.7000007629394,0.25,12.4,17,5,-0.4
66,2024-02-03 18:00:00,20.8316667874654,0.21875,12.2,18,5,-0.4
67,2024-02-03 19:00:00,20.1466671625773,0.1875,12.1,19,5,-0.4
68,2024-02-03 20:00:00,19.6700000762939,0.15625,11.7,20,5,-0.4
69,2024-02-03 21:00:00,19.6700000762939,0.125,11.2,21,5,-0.4
70,2024-02-03 22:00:00,19.6700000762939,0.09375,11.1,22,5,-0.4
71,2024-02-03 23:00:00,19.6700000762939,0.0625,11.0,23,5,-0.4
72,2024-02-04 00:00:00,19.7133334477742,0.03125,11.0,0,6,-0.4
73,2024-02-04 01:00:00,20.402500629425,0.0,10.9,1,6,-0.4
74,2024-02-04 02:00:00,20.7000007629394,-0.03125,10.7,2,6,-0.4
75,2024-02-04 03:00:00,20.7000007629394,-0.0625,10.3,3,6,-0.4
76,2024-02-04 04:00:00,20.7000007629394,-0.09375,10.4,4,6,-0.4
77,2024-02-04 05:00:00,20.7000007629394,-0.125,10.3,5,6,-0.4
78,2024-02-04 06:00:00,20.6150007247924,-0.15625,10.3,6,6,-0.4
79,2024-02-04 07:00:00,20.1900005340576,-0.1875,10.1,7,6,-0.4
80,2024-02-04 08:00:00,20.1900005340576,-0.21875,10.1,8,6,1.54
81,2024-02-05 08:00:00,20.1900005340576,-0.96875,6.48,8,0,1.54
82,2024-02-05 09:00:00,20.1900005340576,-1.0,6.63,9,0,-0.1
83,2024-02-05 10:00:00,20.1900005340576,-0.3333333333333333,6.65,10,0,-0.1
84,2024-02-05 11:00:00,20.1900005340576,-1.2,6.93,11,0,-0.1
85,2024-02-05 12:00:00,20.6150007247924,-0.75,7.22,12,0,-0.1
86,2024-02-05 13:00:00,20.7000007629394,-0.2,7.6,13,0,-0.1
87,2024-02-05 14:00:00,20.7000007629394,0.0,8.6,14,0,-0.1
88,2024-02-05 15:00:00,20.7000007629394,0.3333333333333333,8.36,15,0,-0.1
89,2024-02-05 16:00:00,20.7000007629394,0.0,8.89,16,0,-0.1
90,2024-02-05 17:00:00,20.7000007629394,0.0,8.95,17,0,-0.1
91,2024-02-05 18:00:00,20.7000007629394,0.2,9.01,18,0,-0.1
92,2024-02-05 19:00:00,20.7000007629394,0.0,9.29,19,0,-0.1
93,2024-02-05 20:00:00,20.7000007629394,2.0,9.14,20,0,-0.1
94,2024-02-05 21:00:00,20.7000007629394,0.0,8.78,21,0,-0.1
95,2024-02-05 22:00:00,20.487500667572,0.0,8.88,22,0,-0.1
96,2024-02-05 23:00:00,19.6700000762939,0.0,8.94,23,0,-0.1
97,2024-02-06 00:00:00,19.6700000762939,0.0,8.67,0,1,-0.1
98,2024-02-06 01:00:00,20.0600004196167,0.0,9.09,1,1,-0.1
99,2024-02-06 02:00:00,20.6575007438659,0.0,8.91,2,1,-0.1
100,2024-02-06 03:00:00,20.7000007629394,0.0,9.63,3,1,-0.1
101,2024-02-06 04:00:00,20.7000007629394,0.0,9.6,4,1,-0.1
102,2024-02-06 05:00:00,20.1900005340576,0.0,9.71,5,1,-0.1
103,2024-02-06 06:00:00,20.6575007438659,0.0,10.1,6,1,-0.1
104,2024-02-06 07:00:00,20.7000007629394,0.0,10.1,7,1,-0.1
105,2024-02-06 08:00:00,20.7000007629394,0.0,9.94,8,1,1.41
106,2024-02-06 09:00:00,20.7000007629394,0.0,9.89,9,1,-0.1
107,2024-02-06 10:00:00,20.7000007629394,0.0,9.72,10,1,-0.1
108,2024-02-06 11:00:00,20.7000007629394,0.0,10.3,11,1,-0.1
109,2024-02-06 12:00:00,20.7000007629394,0.0,10.6,12,1,-0.1
110,2024-02-06 13:00:00,20.9600000381469,0.0,10.9,13,1,-0.1
111,2024-02-06 14:00:00,21.2199993133544,0.0,11.1,14,1,-0.1
112,2024-02-06 15:00:00,21.2199993133544,0.0,11.3,15,1,-0.1
113,2024-02-06 16:00:00,21.2199993133544,0.0,11.4,16,1,-0.1
114,2024-02-06 17:00:00,21.2199993133544,0.0,11.4,17,1,-0.1
115,2024-02-06 18:00:00,21.2199993133544,0.0,10.7,18,1,-0.1
116,2024-02-06 19:00:00,21.2199993133544,0.0,10.6,19,1,-0.1
117,2024-02-06 20:00:00,21.2199993133544,0.0588235294117647,10.1,20,1,-0.1
118,2024-02-06 21:00:00,21.2199993133544,0.1176470588235294,10.2,21,1,-0.1
119,2024-02-06 22:00:00,20.7891667683919,0.1764705882352941,9.77,22,1,-0.1
120,2024-02-06 23:00:00,19.8866669336954,0.2352941176470588,9.22,23,1,-0.1
121,2024-02-07 00:00:00,19.6700000762939,0.2941176470588235,4.44,0,2,-0.1
122,2024-02-07 01:00:00,20.317500591278,0.3529411764705882,3.07,1,2,-0.1
123,2024-02-07 02:00:00,20.7000007629394,0.4117647058823529,2.86,2,2,-0.1
124,2024-02-07 03:00:00,20.7000007629394,0.4705882352941176,2.78,3,2,-0.1
125,2024-02-07 04:00:00,20.6575007438659,0.5294117647058824,2.56,4,2,-0.1
126,2024-02-07 05:00:00,20.1900005340576,0.5882352941176471,2.54,5,2,-0.1
127,2024-02-07 06:00:00,20.6575007438659,0.6470588235294118,2.47,6,2,-0.1
128,2024-02-07 07:00:00,20.7000007629394,0.7058823529411764,2.48,7,2,-0.1
129,2024-02-07 08:00:00,20.7000007629394,0.7647058823529411,2.63,8,2,3.2
130,2024-02-07 09:00:00,20.5300006866455,0.8235294117647058,2.91,9,2,-0.1
131,2024-02-07 10:00:00,20.1900005340576,0.8823529411764706,3.03,10,2,-0.1
132,2024-02-07 11:00:00,20.1900005340576,0.9411764705882352,3.55,11,2,-0.1
133,2024-02-07 12:00:00,20.1900005340576,1.0,3.99,12,2,-0.1
134,2024-02-07 13:00:00,20.1900005340576,0.0,4.34,13,2,-0.1
135,2024-02-07 14:00:00,20.1900005340576,1.0,4.56,14,2,-0.1
136,2024-02-07 15:00:00,20.1900005340576,1.0,5.06,15,2,-0.1
137,2024-02-07 16:00:00,20.1900005340576,0.0,4.96,16,2,-0.1
138,2024-02-07 17:00:00,20.1900005340576,-1.0,4.65,17,2,-0.1
139,2024-02-07 18:00:00,20.1900005340576,-0.9761904761904762,5.03,18,2,-0.1
140,2024-02-07 19:00:00,20.1900005340576,-0.9523809523809524,5.01,19,2,-0.1
141,2024-02-07 20:00:00,20.1900005340576,-0.9285714285714286,4.93,20,2,-0.1
142,2024-02-07 21:00:00,20.1900005340576,-0.9047619047619048,4.81,21,2,-0.1
143,2024-02-07 22:00:00,20.0158336957295,-0.8809523809523809,4.76,22,2,-0.1
144,2024-02-07 23:00:00,18.8999996185302,-0.8571428571428572,4.6,23,2,-0.1
145,2024-02-08 00:00:00,18.8133328755696,-0.8333333333333334,4.41,0,3,-0.1
146,2024-02-08 01:00:00,19.5425000190734,-0.8095238095238095,4.35,1,3,-0.1
147,2024-02-08 02:00:00,20.1466671625773,-0.7857142857142857,3.8,2,3,-0.1
148,2024-02-08 03:00:00,20.1900005340576,-0.7619047619047619,3.92,3,3,-0.1
149,2024-02-08 04:00:00,19.9300003051757,-0.7380952380952381,3.83,4,3,-0.1
150,2024-02-08 05:00:00,19.6700000762939,-0.7142857142857143,3.5,5,3,-0.1
151,2024-02-08 06:00:00,20.103333791097,-0.6904761904761905,3.35,6,3,-0.1
152,2024-02-08 07:00:00,20.1900005340576,-0.6666666666666667,3.27,7,3,-0.1
153,2024-02-08 08:00:00,20.1900005340576,-0.6428571428571429,2.98,8,3,-0.1
154,2024-02-08 09:00:00,20.1900005340576,-0.6190476190476191,2.6,9,3,-0.1
155,2024-02-08 10:00:00,20.1900005340576,-0.5952380952380952,2.94,10,3,-0.1
156,2024-02-08 11:00:00,20.1900005340576,-0.5714285714285714,3.63,11,3,-0.1
157,2024-02-08 12:00:00,20.1900005340576,-0.5476190476190477,4.37,12,3,-0.1
158,2024-02-08 13:00:00,20.1900005340576,-0.5238095238095238,5.57,13,3,-0.1
159,2024-02-08 14:00:00,20.2750005722045,-0.5,6.7,14,3,-0.1
160,2024-02-08 15:00:00,20.7000007629394,-0.4761904761904763,7.99,15,3,-0.1
161,2024-02-08 16:00:00,20.7000007629394,-0.4523809523809524,9.86,16,3,-0.1
162,2024-02-08 17:00:00,20.7000007629394,-0.4285714285714286,10.9,17,3,-0.1
163,2024-02-08 18:00:00,20.7000007629394,-0.4047619047619047,10.9,18,3,-0.1
164,2024-02-08 19:00:00,20.7000007629394,-0.3809523809523809,9.73,19,3,-0.1
165,2024-02-08 20:00:00,20.7000007629394,-0.3571428571428572,9.4,20,3,-0.1
166,2024-02-08 21:00:00,20.7000007629394,-0.3333333333333333,9.45,21,3,-0.1
167,2024-02-08 22:00:00,20.5300006866455,-0.3095238095238095,9.42,22,3,-0.1
168,2024-02-08 23:00:00,19.7133334477742,-0.2857142857142858,9.37,23,3,-0.1
169,2024-02-09 00:00:00,19.6700000762939,-0.261904761904762,9.46,0,4,-0.1
170,2024-02-09 01:00:00,20.103333791097,-0.2380952380952381,9.7,1,4,-0.1
171,2024-02-09 02:00:00,20.4450006484985,-0.2142857142857143,10.0,2,4,-0.1
172,2024-02-09 03:00:00,20.7000007629394,-0.1904761904761904,10.3,3,4,-0.1
173,2024-02-09 04:00:00,20.7000007629394,-0.1666666666666667,10.4,4,4,-0.1
174,2024-02-09 05:00:00,20.2750005722045,-0.1428571428571429,10.2,5,4,-0.1
175,2024-02-09 06:00:00,20.6150007247924,-0.119047619047619,9.6,6,4,-0.1
176,2024-02-09 07:00:00,20.7000007629394,-0.0952380952380953,9.44,7,4,-0.1
177,2024-02-09 08:00:00,20.7000007629394,-0.0714285714285715,9.08,8,4,-0.1
178,2024-02-09 09:00:00,20.7000007629394,-0.0476190476190476,9.38,9,4,-0.1
179,2024-02-09 10:00:00,20.7000007629394,-0.0238095238095238,9.35,10,4,-0.1
180,2024-02-09 11:00:00,20.7000007629394,0.0,9.78,11,4,-0.1
181,2024-02-09 12:00:00,20.7000007629394,0.5,9.58,12,4,-0.1
182,2024-02-09 13:00:00,20.7000007629394,1.0,9.7,13,4,-0.1
183,2024-02-09 14:00:00,20.9600000381469,1.0,10.2,14,4,-0.1
184,2024-02-09 15:00:00,21.2199993133544,1.0,10.7,15,4,-0.1
185,2024-02-09 16:00:00,21.2199993133544,1.0,10.8,16,4,-0.1
186,2024-02-09 17:00:00,21.2199993133544,2.0,10.5,17,4,-0.1
187,2024-02-09 18:00:00,21.2199993133544,1.961111111111111,10.4,18,4,-0.1
188,2024-02-09 19:00:00,21.2199993133544,1.9222222222222225,10.4,19,4,-0.1
189,2024-02-09 20:00:00,21.2199993133544,1.8833333333333333,10.2,20,4,-0.1
190,2024-02-09 21:00:00,21.2199993133544,1.8444444444444448,10.1,21,4,-0.1
191,2024-02-09 22:00:00,20.7466667493184,1.805555555555556,10.2,22,4,-0.1
192,2024-02-09 23:00:00,19.8000001907348,1.7666666666666666,10.4,23,4,-0.1
193,2024-02-10 00:00:00,19.6700000762939,1.727777777777778,10.2,0,5,-0.1
194,2024-02-10 01:00:00,20.2316672007242,1.6888888888888889,10.1,1,5,-0.1
195,2024-02-10 02:00:00,20.7000007629394,1.65,9.87,2,5,-0.1
196,2024-02-10 03:00:00,20.7000007629394,1.6111111111111112,9.64,3,5,-0.1
197,2024-02-10 04:00:00,20.7000007629394,1.5722222222222222,9.59,4,5,-0.1
198,2024-02-10 05:00:00,20.6150007247924,1.5333333333333332,9.12,5,5,-0.1
199,2024-02-10 06:00:00,20.1900005340576,1.4944444444444445,9.4,6,5,-0.1
200,2024-02-10 07:00:00,20.1900005340576,1.4555555555555555,8.63,7,5,-0.1
201,2024-02-10 08:00:00,20.1900005340576,1.4166666666666663,7.8,8,5,-0.1
202,2024-02-10 09:00:00,20.6150007247924,1.3777777777777778,7.7,9,5,-0.1
203,2024-02-10 10:00:00,20.7000007629394,1.338888888888889,8.4,10,5,-0.1
204,2024-02-10 11:00:00,20.7000007629394,1.3,9.41,11,5,-0.1
205,2024-02-10 12:00:00,20.7000007629394,1.261111111111111,9.61,12,5,-0.1
206,2024-02-10 13:00:00,20.7000007629394,1.2222222222222223,10.5,13,5,-0.1
207,2024-02-10 14:00:00,20.7000007629394,1.1833333333333331,11.2,14,5,-0.1
208,2024-02-10 15:00:00,20.7000007629394,1.1444444444444444,10.8,15,5,-0.1
209,2024-02-10 16:00:00,20.7000007629394,1.1055555555555556,10.9,16,5,-0.1
210,2024-02-10 17:00:00,20.7000007629394,1.0666666666666669,10.2,17,5,-0.1
211,2024-02-10 18:00:00,20.5300006866455,1.0277777777777777,9.56,18,5,-0.1
212,2024-02-10 19:00:00,19.7133334477742,0.9888888888888888,9.1,19,5,-0.1
213,2024-02-10 20:00:00,19.6700000762939,0.95,8.5,20,5,-0.1
214,2024-02-10 21:00:00,19.6700000762939,0.911111111111111,8.18,21,5,-0.1
215,2024-02-10 22:00:00,19.6700000762939,0.8722222222222222,7.89,22,5,-0.1
216,2024-02-10 23:00:00,19.6700000762939,0.8333333333333333,7.59,23,5,-0.1
