ID,date,value,CO2,temp,outT,TSV,adapt_comf
0,2024-01-04 17:00:00,1.31,448.0,20.1,7.51,-0.3,0
1,2024-01-06 15:00:00,1.31,453.0,19.5,5.07,-0.4,0
2,2024-01-06 16:00:00,2.2,453.0,19.6,4.6,-0.7,0
3,2024-01-06 17:00:00,2.0,455.0,20.0,4.39,-0.5,0
4,2024-01-06 18:00:00,1.6,455.0,20.1,4.41,-0.4,0
5,2024-01-06 19:00:00,1.5,454.0,20.2,3.92,-0.7,0
6,2024-01-06 20:00:00,1.5,455.0,20.2,3.84,-0.7,0
7,2024-01-06 21:00:00,1.5,453.0,20.4,3.88,-0.6,0
8,2024-01-06 22:00:00,1.5,454.0,20.5,3.61,-0.4,0
9,2024-01-06 23:00:00,1.5,456.0,20.5,3.06,0.1,0
10,2024-01-07 15:00:00,0.87,446.0,18.9,2.69,0.2,0
11,2024-01-07 16:00:00,1.98,450.0,19.3,2.47,0.2,0
12,2024-01-07 17:00:00,1.8,452.0,19.8,2.25,0.2,0
13,2024-01-07 18:00:00,1.8,454.0,19.9,1.83,0.2,0
14,2024-01-07 19:00:00,1.8,456.0,20.1,1.47,0.3,0
15,2024-01-07 20:00:00,1.8,454.0,20.2,1.41,0.4,0
16,2024-01-07 21:00:00,1.8,454.0,20.2,1.37,0.4,0
17,2024-01-07 22:00:00,1.8,454.0,20.4,1.08,0.4,0
18,2024-01-07 23:00:00,1.8,455.0,20.4,0.96,0.4,0
19,2024-01-08 00:00:00,1.8,456.0,20.4,0.87,0.4,0
20,2024-01-08 01:00:00,1.8,457.0,20.4,0.66,0.4,0
21,2024-01-08 02:00:00,1.8,457.0,20.4,0.63,0.4,0
22,2024-01-08 03:00:00,1.8,458.0,20.4,0.7,0.4,0
23,2024-01-08 04:00:00,1.8,460.0,20.4,0.97,0.4,0
24,2024-01-08 05:00:00,1.8,460.0,20.4,1.1,0.4,0
25,2024-01-08 06:00:00,1.63,460.0,20.4,1.04,0.4,0
26,2024-01-08 15:00:00,1.44,452.0,19.0,0.34,0.2,0
27,2024-01-08 16:00:00,2.0,457.0,19.3,-0.26,0.2,0
28,2024-01-08 17:00:00,1.93,459.0,19.7,-0.79,0.2,0
29,2024-01-08 18:00:00,1.5,459.0,19.9,-0.5,0.2,0
30,2024-01-08 19:00:00,1.5,461.0,20.0,-0.38,0.3,0
31,2024-01-08 20:00:00,1.5,465.0,20.0,-0.25,0.3,0
32,2024-01-08 21:00:00,1.5,480.0,19.9,0.13,0.2,0
33,2024-01-08 22:00:00,1.5,466.0,19.8,0.27,0.2,0
34,2024-01-08 23:00:00,1.5,464.0,19.8,0.05,0.2,0
35,2024-01-09 00:00:00,0.2,472.0,20.0,-0.1,0.3,0
36,2024-01-09 15:00:00,1.83,455.0,18.9,2.0,0.2,0
37,2024-01-09 16:00:00,1.9,458.0,19.3,1.63,0.2,0
38,2024-01-09 17:00:00,1.9,460.0,19.7,0.98,0.2,0
39,2024-01-09 18:00:00,1.9,461.0,19.9,0.4,0.2,0
40,2024-01-09 19:00:00,1.9,463.0,20.1,-0.04,0.3,0
41,2024-01-09 20:00:00,1.61,461.0,20.2,-0.1,0.4,0
42,2024-01-09 21:00:00,1.4,463.0,20.2,-0.24,0.4,0
43,2024-01-09 22:00:00,1.4,464.0,20.3,-0.5,0.4,0
44,2024-01-09 23:00:00,1.23,469.0,20.3,-0.7,0.4,0
45,2024-01-10 15:00:00,1.75,458.0,18.7,3.29,-1.2,0
46,2024-01-10 16:00:00,1.65,463.0,19.2,2.6,0.2,0
47,2024-01-10 17:00:00,1.4,463.0,19.6,1.68,0.2,0
48,2024-01-10 18:00:00,1.4,462.0,19.8,1.05,0.2,0
49,2024-01-10 19:00:00,1.4,463.0,20.0,0.76,0.3,0
50,2024-01-10 20:00:00,1.4,466.0,20.1,0.52,0.3,0
51,2024-01-10 21:00:00,1.4,473.0,20.2,0.48,0.4,0
52,2024-01-10 22:00:00,0.24,478.0,20.0,0.55,0.3,0
53,2024-01-11 15:00:00,1.82,471.0,18.6,2.41,0.2,0
54,2024-01-11 16:00:00,1.84,473.0,19.2,2.8,0.1,0
55,2024-01-11 17:00:00,1.325,476.0,19.5,3.02,-0.0,0
56,2024-01-11 18:00:00,1.86,479.0,19.0,3.23,-1.1,0
57,2024-01-11 19:00:00,1.52,474.0,19.5,3.41,-1.4,0
58,2024-01-11 20:00:00,1.5,468.0,19.8,3.78,-1.3,0
59,2024-01-11 21:00:00,1.5,465.0,19.9,3.71,-1.2,0
60,2024-01-11 22:00:00,1.06,464.0,20.1,3.65,-0.8,0
61,2024-01-12 15:00:00,1.04,467.0,19.2,4.23,-1.0,0
62,2024-01-12 16:00:00,2.1,466.0,19.4,4.15,-1.1,0
63,2024-01-12 17:00:00,2.1,462.0,19.8,3.98,-1.1,0
64,2024-01-12 18:00:00,2.1,464.0,20.1,3.77,-0.9,0
65,2024-01-12 19:00:00,1.81,466.0,20.2,3.71,-0.6,0
66,2024-01-12 20:00:00,1.5,469.0,20.2,3.45,-0.5,0
67,2024-01-12 21:00:00,1.5,475.0,20.3,3.2,-0.5,0
68,2024-01-12 22:00:00,1.5,471.0,20.3,3.06,0.0,0
69,2024-01-12 23:00:00,1.5,466.0,20.3,2.78,0.3,0
70,2024-01-13 00:00:00,1.5,466.0,20.4,2.66,0.4,0
71,2024-01-13 01:00:00,1.5,468.0,20.4,2.57,0.4,0
72,2024-01-13 02:00:00,1.5,470.0,20.4,2.52,0.4,0
73,2024-01-13 03:00:00,1.5,468.0,20.5,2.09,0.6,0
74,2024-01-13 04:00:00,0.06,467.0,20.5,1.64,0.6,0
75,2024-01-13 15:00:00,0.93,454.0,19.0,2.39,0.2,0
