,Unnamed: 0,ID,date,CO2,LTHW,temp,outT,TSV,adapt_comf
0,0,0,2024-01-01 01:00:00,426.0,-0.8,20.7,7.76,0.0,0
1,1,1,2024-01-01 02:00:00,428.0,-0.8,20.8,7.51,-0.2,0
2,2,2,2024-01-01 03:00:00,429.0,-0.8,20.8,7.49,-0.2,0
3,3,3,2024-01-01 04:00:00,429.0,-0.8,20.8,7.67,-0.3,0
4,4,4,2024-01-01 05:00:00,430.0,-0.8,20.8,7.56,-0.2,0
5,5,5,2024-01-01 06:00:00,431.0,-0.8,20.8,7.12,-0.6,0
6,6,6,2024-01-01 07:00:00,415.0,-0.8,21.7,6.76,0.3,0
7,7,7,2024-01-01 08:00:00,407.0,-0.8,21.9,6.35,-0.6,0
8,8,8,2024-01-01 09:00:00,409.0,-0.347,21.8,6.26,-0.8,0
9,9,9,2024-01-01 10:00:00,415.0,-0.3,21.6,6.37,-0.6,0
10,10,10,2024-01-01 11:00:00,417.0,-0.3,21.3,6.7,0.1,0
11,11,11,2024-01-01 12:00:00,419.0,-0.3,21.1,7.62,-0.0,0
12,12,12,2024-01-01 13:00:00,420.0,-0.3,21.0,8.05,-0.6,0
13,13,13,2024-01-01 14:00:00,420.0,-0.3,20.8,7.83,-0.5,0
14,14,14,2024-01-01 15:00:00,428.0,-0.3,19.7,8.16,0.2,0
15,15,15,2024-01-01 16:00:00,434.0,-0.6,19.8,8.26,0.2,0
16,16,16,2024-01-01 17:00:00,437.0,-0.6,20.1,8.08,-0.8,0
17,17,17,2024-01-01 18:00:00,437.0,-0.6,20.2,7.77,-0.0,0
18,18,18,2024-01-01 19:00:00,437.0,-0.6,20.3,8.48,0.4,0
19,19,19,2024-01-01 20:00:00,436.0,-0.6,20.4,8.86,0.1,0
20,20,20,2024-01-01 21:00:00,438.0,-0.6,20.6,9.1,0.8,0
21,21,21,2024-01-01 22:00:00,440.0,-0.6,20.6,9.59,0.6,0
22,22,22,2024-01-01 23:00:00,443.0,-0.6,20.6,10.6,0.0,0
23,23,23,2024-01-02 00:00:00,444.0,-0.6,20.7,9.82,0.2,0
24,24,24,2024-01-02 01:00:00,441.0,-0.6,20.7,9.79,-0.0,0
25,25,25,2024-01-02 02:00:00,439.0,-0.6,20.7,9.56,0.4,0
26,26,26,2024-01-02 03:00:00,438.0,-0.6,20.7,7.1,-0.6,0
27,27,27,2024-01-02 04:00:00,434.0,-0.6,20.7,5.37,-0.9,0
28,28,28,2024-01-02 05:00:00,433.0,-0.6,20.8,5.3,-0.8,0
29,29,29,2024-01-02 06:00:00,434.0,-0.6,20.9,4.66,-0.8,0
30,30,30,2024-01-02 07:00:00,418.0,-0.6,21.8,3.9,-0.4,0
31,31,31,2024-01-02 08:00:00,415.0,-0.6,22.0,3.27,-0.4,0
32,32,32,2024-01-02 09:00:00,407.0,0.0,22.0,3.34,-0.2,0
33,33,33,2024-01-02 10:00:00,409.0,0.0,21.8,4.88,-0.8,0
34,34,34,2024-01-02 11:00:00,411.0,0.0,21.7,6.2,-0.3,0
35,35,35,2024-01-02 12:00:00,413.0,0.0,21.6,7.41,-0.2,0
36,36,36,2024-01-02 13:00:00,414.0,0.0,21.4,7.9,-0.3,0
37,37,37,2024-01-02 14:00:00,414.0,0.0,21.3,8.76,0.3,0
38,38,38,2024-01-02 15:00:00,424.0,-0.621,20.1,8.34,0.3,0
39,39,39,2024-01-02 16:00:00,428.0,-0.4,20.2,7.8,-0.0,0
40,40,40,2024-01-02 17:00:00,431.0,-0.4,20.3,7.07,-0.9,0
41,41,41,2024-01-02 18:00:00,434.0,-0.4,20.6,6.46,-0.6,0
42,42,42,2024-01-02 19:00:00,437.0,-0.4,20.7,6.12,-0.5,0
43,43,43,2024-01-02 20:00:00,432.0,-0.4,20.7,5.47,-0.9,0
44,44,44,2024-01-02 21:00:00,427.0,-0.4,20.7,4.73,-0.9,0
45,45,45,2024-01-02 22:00:00,428.0,-0.4,20.7,4.46,-0.1,0
46,46,46,2024-01-02 23:00:00,427.0,-0.4,20.7,3.66,-0.4,0
47,47,47,2024-01-03 01:00:00,423.0,-0.4,21.1,3.92,-0.4,0
48,48,48,2024-01-03 02:00:00,427.0,-0.4,21.1,3.29,-0.2,0
49,49,49,2024-01-03 03:00:00,431.0,-0.4,21.1,2.68,0.5,0
50,50,50,2024-01-03 04:00:00,432.0,-0.4,21.1,2.55,0.6,0
51,51,51,2024-01-03 05:00:00,432.0,-0.4,20.9,2.36,0.6,0
52,52,52,2024-01-03 06:00:00,432.0,-0.4,20.9,1.89,0.6,0
53,53,53,2024-01-03 07:00:00,416.0,-0.4,21.8,2.44,0.6,0
54,54,54,2024-01-03 08:00:00,405.0,-0.4,22.1,2.47,0.6,0
55,55,55,2024-01-03 09:00:00,405.0,-0.4,22.0,1.87,0.6,0
56,56,56,2024-01-03 10:00:00,412.0,-0.4,21.7,3.5,-0.3,0
57,57,57,2024-01-03 11:00:00,414.0,-0.4,21.5,3.64,-0.4,0
58,58,58,2024-01-03 12:00:00,414.0,-0.4,21.3,2.99,0.5,0
59,59,59,2024-01-03 13:00:00,412.0,-0.4,21.3,3.14,-0.0,0
60,60,60,2024-01-03 14:00:00,413.0,-0.4,21.2,4.96,-0.5,0
61,61,61,2024-01-03 15:00:00,426.0,-1.34,20.0,4.99,-0.9,0
62,62,62,2024-01-03 16:00:00,430.0,-0.4,20.1,5.24,-0.8,0
63,63,63,2024-01-03 17:00:00,430.0,-0.4,20.2,4.84,-1.0,0
64,64,64,2024-01-03 18:00:00,432.0,-0.4,20.4,4.04,-0.6,0
65,65,65,2024-01-03 19:00:00,431.0,-0.4,20.6,3.7,-0.4,0
66,66,66,2024-01-03 20:00:00,430.0,-0.4,20.7,2.47,0.6,0
67,67,67,2024-01-03 21:00:00,430.0,-0.4,20.8,2.44,0.6,0
68,68,68,2024-01-03 22:00:00,436.0,-0.4,20.9,1.78,0.6,0
69,69,69,2024-01-03 23:00:00,439.0,-0.4,21.1,1.47,0.6,0
70,70,70,2024-01-13 00:00:00,466.0,1.5,20.4,2.66,0.4,0
71,71,71,2024-01-13 01:00:00,468.0,1.5,20.4,2.57,0.4,0
72,72,72,2024-01-13 02:00:00,470.0,1.5,20.4,2.52,0.4,0
73,73,73,2024-01-13 03:00:00,468.0,1.5,20.5,2.09,0.6,0
74,74,74,2024-01-13 04:00:00,467.0,0.0581,20.5,1.64,0.6,0
75,75,75,2024-01-13 05:00:00,466.0,-0.4,20.5,1.34,0.6,0
76,76,76,2024-01-13 06:00:00,464.0,-0.4,20.5,1.0,0.6,0
77,77,77,2024-01-13 07:00:00,449.0,-0.4,21.4,0.29,0.6,0
78,78,78,2024-01-13 08:00:00,436.0,-0.4,21.7,-0.09,0.6,0
79,79,79,2024-01-13 09:00:00,438.0,-0.4,21.6,-0.49,0.6,0
80,80,80,2024-01-13 10:00:00,450.0,-0.4,21.2,-0.19,0.6,0
81,81,81,2024-01-13 11:00:00,450.0,-0.4,20.9,0.52,0.6,0
82,82,82,2024-01-13 12:00:00,449.0,-0.4,20.7,1.07,0.6,0
83,83,83,2024-01-13 13:00:00,446.0,-0.4,20.5,1.69,0.6,0
84,84,84,2024-01-13 14:00:00,442.0,-0.4,20.5,2.15,0.6,0
85,85,85,2024-01-13 15:00:00,454.0,0.926,19.0,2.39,0.2,0
86,86,86,2024-01-13 16:00:00,453.0,-0.06850000000000002,19.4,2.39,0.2,0
87,87,87,2024-01-13 17:00:00,454.0,0.04199999999999998,19.7,2.14,0.2,0
88,88,88,2024-01-13 18:00:00,459.0,0.263,19.9,2.09,0.2,0
89,89,89,2024-01-13 19:00:00,530.0,0.926,20.0,2.38,0.3,0
90,90,90,2024-01-13 20:00:00,532.0,-0.211,20.1,2.38,0.3,0
91,91,91,2024-01-13 21:00:00,523.0,-0.5,20.3,2.53,0.4,0
92,92,92,2024-01-13 22:00:00,499.0,-0.5,20.3,2.57,0.4,0
93,93,93,2024-01-13 23:00:00,464.0,-0.5,20.5,2.52,0.6,0
94,94,94,2024-01-14 00:00:00,463.0,-0.5,20.5,2.43,0.6,0
95,95,95,2024-01-14 01:00:00,467.0,-0.5,20.5,2.21,0.6,0
96,96,96,2024-01-14 02:00:00,466.0,-0.5,20.5,2.22,0.6,0
97,97,97,2024-01-14 03:00:00,464.0,-0.5,20.4,2.07,0.4,0
98,98,98,2024-01-14 04:00:00,463.0,-0.5,20.5,2.16,0.6,0
99,99,99,2024-01-14 05:00:00,468.0,-0.5,20.5,2.07,0.6,0
100,100,100,2024-01-14 06:00:00,476.0,-0.5,20.5,2.05,0.6,0
101,101,101,2024-01-14 07:00:00,459.0,-0.5,21.5,2.11,0.6,0
102,102,102,2024-01-14 08:00:00,453.0,-0.5,21.6,1.95,0.6,0
103,103,103,2024-01-14 09:00:00,461.0,-0.0278,21.4,2.07,0.6,0
104,104,104,2024-01-14 10:00:00,461.0,0.0,21.0,2.57,0.6,0
105,105,105,2024-01-14 11:00:00,457.0,0.0,20.7,2.97,0.1,0
106,106,106,2024-01-14 12:00:00,454.0,0.0,20.4,3.44,-0.5,0
107,107,107,2024-01-14 13:00:00,453.0,0.0,20.3,4.03,-0.8,0
108,108,108,2024-01-14 14:00:00,453.0,0.0,20.1,4.35,-0.5,0
109,109,109,2024-01-14 15:00:00,458.0,1.05,18.9,4.21,-1.1,0
110,110,110,2024-01-14 16:00:00,460.0,0.2625,19.4,4.42,-0.6,0
111,111,111,2024-01-14 17:00:00,461.0,0.35000000000000003,19.8,4.21,-1.2,0
112,112,112,2024-01-14 18:00:00,464.0,0.525,20.0,4.22,-1.1,0
113,113,113,2024-01-14 19:00:00,462.0,1.4,20.1,3.96,-0.6,0
114,114,114,2024-01-14 20:00:00,461.0,1.4,20.2,3.51,-0.5,0
115,115,115,2024-01-14 21:00:00,461.0,1.4,20.3,3.03,0.5,0
116,116,116,2024-01-14 22:00:00,459.0,1.4,20.4,2.74,0.3,0
